Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617885147	534661054	1461	256	2021-04-08	14:32:27	nan	nan	nan	101.513	28.4142	101.573	43.5378	0	0	29.2526	-16000	0	23.6313	101
DATA	1617885154	534388065	1489	256	2021-04-08	14:32:34	nan	nan	nan	101.507	28.5375	101.568	43.5378	0	0	29.3811	-16000	0	23.6321	128
DATA	1617885157	784388065	1502	256	2021-04-08	14:32:37	nan	nan	nan	101.505	28.6024	101.566	43.5378	0	0	29.4485	-16000	0	23.6328	130
DATA	1617885162	33951044	1519	256	2021-04-08	14:32:42	nan	nan	nan	101.509	28.6822	101.569	43.5378	0	0	29.5311	-16000	0	23.6313	 58
DATA	1617885163	33951044	1523	256	2021-04-08	14:32:43	nan	nan	nan	101.51	28.6922	101.571	43.5378	0	0	29.5413	-16000	0	23.6317	  0
DATA	1617885164	783951044	1530	256	2021-04-08	14:32:44	nan	nan	nan	101.506	28.7259	101.567	43.5378	0	0	29.5765	-16000	0	23.6318	133
DATA	1617885166	283659934	1536	256	2021-04-08	14:32:46	nan	nan	nan	101.503	28.7556	101.564	43.5378	0	0	29.6065	-16000	0	23.6313	134
DATA	1617885169	533659934	1549	256	2021-04-08	14:32:49	nan	nan	nan	101.504	28.8171	101.564	43.5378	0	0	29.67	-16000	0	23.6313	 37
DATA	1617885173	33659934	1563	256	2021-04-08	14:32:53	nan	nan	nan	101.504	28.878	101.563	43.5378	0	0	29.7329	-16000	0	23.6313	 31
DATA	1617885175	283315896	1572	256	2021-04-08	14:32:55	nan	nan	nan	101.502	28.9204	101.561	43.5378	0	0	29.7774	-16000	0	23.6313	126
DATA	1617885178	283315896	1584	256	2021-04-08	14:32:58	nan	nan	nan	101.501	28.9699	101.561	43.5378	0	0	29.8281	-16000	0	23.6317	150
DATA	1617885179	283315896	1588	256	2021-04-08	14:32:59	nan	nan	nan	101.502	28.9883	101.561	43.5378	0	0	29.8471	-16000	0	23.6313	149
DATA	1617885181	783050060	1598	256	2021-04-08	14:33:01	nan	nan	nan	101.501	29.0368	101.56	43.5378	0	0	29.8972	-16000	0	23.6313	 61
DATA	1617885187	283050060	1620	256	2021-04-08	14:33:07	nan	nan	nan	101.498	29.1387	101.557	43.5378	0	0	30.0012	-16000	0	23.6305	 95
DATA	1617885188	532666921	1620	256	2021-04-08	14:33:08	nan	nan	nan	101.494	29.2954	101.552	43.5378	0	0	30.1622	-16000	0	23.6313	112
DATA	1617885203	32054901	1683	256	2021-04-08	14:33:23	nan	nan	nan	101.49	29.4373	101.549	43.5378	0	0	30.3082	-16000	0	23.6313	251
DATA	1617885204	282666921	1683	256	2021-04-08	14:33:24	nan	nan	nan	101.491	29.4191	101.549	43.5378	0	0	30.2891	-16000	0	23.6309	122
DATA	1617885205	32054901	1691	256	2021-04-08	14:33:25	nan	nan	nan	101.491	29.456	101.548	43.5378	0	0	30.327	-16000	0	23.6309	208
DATA	1617885206	532054901	1697	256	2021-04-08	14:33:26	nan	nan	nan	101.49	29.4868	101.549	43.5378	0	0	30.3577	-16000	0	23.6313	 77
DATA	1617885207	282054901	1700	256	2021-04-08	14:33:27	nan	nan	nan	101.49	29.4979	101.548	43.5378	0	0	30.3693	-16000	0	23.6308	 71
DATA	1617885211	31861066	1715	256	2021-04-08	14:33:31	nan	nan	nan	101.487	29.5669	101.544	43.5378	0	0	30.4396	-16000	0	23.6313	 63
DATA	1617885212	531861066	1721	256	2021-04-08	14:33:32	nan	nan	nan	101.485	29.5963	101.544	43.5378	0	0	30.4703	-16000	0	23.6297	113
DATA	1617885213	31861066	1723	256	2021-04-08	14:33:33	nan	nan	nan	101.485	29.6052	101.541	43.5378	0	0	30.4797	-16000	0	23.6305	 54
DATA	1617885214	531861066	1729	256	2021-04-08	14:33:34	nan	nan	nan	101.485	29.632	101.542	43.5378	0	0	30.5058	-16000	0	23.6313	 56
DATA	1617885216	531861066	1737	256	2021-04-08	14:33:36	nan	nan	nan	101.484	29.664	101.541	43.5378	0	0	30.5384	-16000	0	23.6309	 69
DATA	1617885217	531861066	1741	256	2021-04-08	14:33:37	nan	nan	nan	101.485	29.682	101.541	43.5378	0	0	30.5569	-16000	0	23.6305	 68
DATA	1617885218	31861066	1743	256	2021-04-08	14:33:38	nan	nan	nan	101.485	29.6959	101.542	43.5378	0	0	30.5711	-16000	0	23.6297	 80
DATA	1617885222	531410932	1761	256	2021-04-08	14:33:42	nan	nan	nan	101.481	29.7761	101.541	43.5378	0	0	30.6536	-16000	0	23.6289	109
DATA	1617885223	781410932	1766	256	2021-04-08	14:33:43	nan	nan	nan	101.482	29.8016	101.54	43.5378	0	0	30.6783	-16000	0	23.6297	 72
DATA	1617885224	781410932	1770	256	2021-04-08	14:33:44	nan	nan	nan	101.481	29.8133	101.539	43.5378	0	0	30.6906	-16000	0	23.6309	115
DATA	1617885225	531410932	1773	256	2021-04-08	14:33:45	nan	nan	nan	101.481	29.8298	101.536	43.5378	0	0	30.707	-16000	0	23.6308	 66
DATA	1617885226	31086921	1775	256	2021-04-08	14:33:46	nan	nan	nan	101.48	29.8406	101.536	43.5378	0	0	30.7181	-16000	0	23.6297	 24
